Episode,Total Reward,Epsilon,Steps,Success,Exploration,Exploitation,Max Q-value
470,60,0.0996820918179746,17,1,4,13,62.1627595973686
471,60,0.0996820918179746,17,1,2,15,62.162759597375555
472,59,0.0996820918179746,18,1,2,16,62.162759597379036
473,61,0.0996820918179746,16,1,1,15,62.16275959738078
474,62,0.0996820918179746,15,1,0,15,62.16275959738165
475,62,0.0996820918179746,15,1,0,15,62.162759597382085
476,62,0.0996820918179746,15,1,1,14,62.162759597382305
477,61,0.0996820918179746,16,1,1,15,62.16275959738241
478,59,0.0996820918179746,18,1,3,15,62.16275959738246
479,60,0.0996820918179746,17,1,2,15,62.16275959738249
480,59,0.0996820918179746,18,1,5,13,62.162759597382504
481,58,0.0996820918179746,19,1,3,16,62.16275959738251
482,60,0.0996820918179746,17,1,2,15,62.16275959738252
483,60,0.0996820918179746,17,1,1,16,62.16275959738252
484,59,0.0996820918179746,18,1,2,16,62.16275959738252
485,62,0.0996820918179746,15,1,0,15,62.16275959738252
486,60,0.0996820918179746,17,1,1,16,62.16275959738252
487,62,0.0996820918179746,15,1,0,15,62.16275959738252
